name,propername,code,count,description,url,type
pucdp,Pontificia Universidad Catolica del Peru - Dataverse,0,46,VALID pucdp : http://datos.pucp.edu.pe/sitemap.xml with 1 sitemap URL(s),http://datos.pucp.edu.pe/sitemap.xml,sitemap
qdr,Qualitative Data Repository - Dataverse,0,140,VALID qdr : http://data.qdr.syr.edu/sitemap.xml with 1 sitemap URL(s),http://data.qdr.syr.edu/sitemap.xml,sitemap
chile,Repositorio de datos de investigación de la Universidad de Chile - Dataverse,0,77,VALID chile : http://datos.uchile.cl/sitemap.xml with 1 sitemap URL(s),http://datos.uchile.cl/sitemap.xml,sitemap
rosario,Repositorio de Datos de Investigación Universidad del Rosario - Dataverse,0,73,VALID rosario : http://research-data.urosario.edu.co/sitemap.xml with 1 sitemap URL(s),http://research-data.urosario.edu.co/sitemap.xml,sitemap
pesquisa,Repositorios Piloto da Rede Nacional de Ensino e Pesquisa - Dataverse,0,11,VALID pesquisa : http://dadosabertos.rnp.br/sitemap.xml with 1 sitemap URL(s),http://dadosabertos.rnp.br/sitemap.xml,sitemap
rsu,Riga Stradins University (RSU) - Dataverse,1,0,ERROR rsu : http://dataverse.rsu.lv/sitemap.xml Sitemap URL is 404,http://dataverse.rsu.lv/sitemap.xml,sitemap
tdl,Texas Data Library (TDL) Repository - Dataverse,0,2005,VALID tdl : http://dataverse.tdl.org/sitemap.xml with 1 sitemap URL(s),http://dataverse.tdl.org/sitemap.xml,sitemap
ucla,University of California Los Angeles (UCLA) - Dataverse,1,0,"ERROR making request, no further information at this time",http://dataverse.ucla.edu/sitemap.xml,sitemap
unb,University of New Brunswick (UNB) Libraries - Dataverse,1,0,ERROR unb : http://dataverse.lib.unb.ca/sitemap.xml Sitemap URL is 404,http://dataverse.lib.unb.ca/sitemap.xml,sitemap
unc,University of North Carolina (UNC) - Dataverse,0,4868,VALID unc : http://dataverse.unc.edu/sitemap.xml with 1 sitemap URL(s),http://dataverse.unc.edu/sitemap.xml,sitemap
manitoba,University of Manitoba - Dataverse,0,90,VALID manitoba : http://dataverse.lib.umanitoba.ca/sitemap.xml with 1 sitemap URL(s),http://dataverse.lib.umanitoba.ca/sitemap.xml,sitemap
milano,Universita degli Studi di Milano - Dataverse,1,0,ERROR milano : http://dataverse.unimi.it/sitemap.xml Sitemap URL is 404,http://dataverse.unimi.it/sitemap.xml,sitemap
uwi,University of the West Indies (UWI) - Dataverse,1,0,"ERROR making request, no further information at this time",http://dataverse.sta.uwi.edu/sitemap.xml,sitemap
vtti,Virginia Tech Transportation Institute (VTTI) - Dataverse,1,0,ERROR vtti : http://dataverse.vtti.vt.edu/sitemap.xml Sitemap URL is 404,http://dataverse.vtti.vt.edu/sitemap.xml,sitemap
wardr,World Agroforestry Research Data Repository - Dataverse,1,0,ERROR wardr : http://data.worldagroforestry.org/sitemap.xml Sitemap URL is 404,http://data.worldagroforestry.org/sitemap.xml,sitemap
yalenus,Yale-NUS College - Dataverse,1,0,"ERROR making request, no further information at this time",http://dataverse.yale-nus.edu.sg/sitemap.xml,sitemap
